"Timestamp","What is your age ? ","What is your gender?","What level of education are you currently pursuing?","Do you prefer studying soft materials or hard materials?","Which subjects do you prefer studying with hard materials, and which ones with soft materials? [hard materials ]","Which subjects do you prefer studying with hard materials, and which ones with soft materials? [soft materials]","Which option is the easiest for getting your material? ","What soft materials or digital tools do you prefer?","What specific hard materials do you prefer?","What are your preferred methods for customizing study materials?","Do you find it expensive to use hard materials? ","How important is it to reach your study materials from different devices? (e.g., computer, phone) ? ","When using study materials, do you often find yourself getting distracted by other things, such as 
 social media or anything else
 Note : 0 for Not At All 4 for Extremely distracted,
? [soft materials]","When using study materials, do you often find yourself getting distracted by other things, such as 
 social media or anything else
 Note : 0 for Not At All 4 for Extremely distracted,
? [hard materials]","Which study materials help you to keep your materials for long time ","How often do you experience problems with your soft study materials (like device issues or software problems)?","How often do you face problems with your physical study materials, like book damage or notebook wear and tear?","Do study materials play a role on time saving, and if yes, which types are most effective?","How would you rate the storage or space-related challenges specific to soft study materials ?","Do you find any differences in how well you remember and understand information when using hard or soft study materials? If yes, please explain.","Which type of study materials offers more flexibility in terms of study location and timing: soft or hard?

Note: 0 for No Flexibility , 4 for Extremely Flexibility [soft materials]","Which type of study materials offers more flexibility in terms of study location and timing: soft or hard?

Note: 0 for No Flexibility , 4 for Extremely Flexibility [hard materials]","How would you rate the storage or space-related challenges specific to hard study materials, considering factors such as the amount of space they occupy at home ?","Do you typically prefer to study in an indoor or outdoor environment? ","What study materials are more suitable to study in your preferred environment (indoor/outdoor)?","Why do you find this format to be more suitable for your preferred study environment?","How much flexibility do you have in customizing your study materials to match your specific learning preferences and requirements
Note: 0 for No Flexibility , 4 for Extremely Flexibility? [Soft Materials]","How much flexibility do you have in customizing your study materials to match your specific learning preferences and requirements
Note: 0 for No Flexibility , 4 for Extremely Flexibility? [Hard Materials]","Any additional information about soft vs hard study materials ?"
"2024/03/18 11:49:33 pm EET","21","Female","Third Year","Both","Science;Mathematics;Linguistics","Science;Mathematics;Linguistics;Literature;design;programming;theoretical subjects;practical subjects","soft materials","Laptop and tablet ","Paper notebooks","Draw a simple mind map on paper;Write down important information on small cards;Create a timeline using digital tools;Use online quiz-making platforms;Using a website to generate flashcards ","Yes","3","3","1","Both","1","2","Hard Materials","1","No","3","1","3","Indoor","Soft materials","Because hard material would be heavy to carry in case that I decide to study many fields , that's why soft materials would be easier to use anywhere and anytime without suffering from pack pain","3","3",""
"2024/03/18 11:51:36 pm EET","21","Female","Third Year","Soft materials","Science;Mathematics;theoretical subjects","programming;practical subjects","soft materials","Laptop","Paper notebooks","Draw a simple mind map on paper","Yes","3","4","3","Soft materials","1","4","Soft Materials","2","no ","4","2","4","Indoor","Soft materials","easy to carry ","4","4",""
"2024/03/18 11:55:20 pm EET","20","Female","Second Year","Soft materials","Mathematics;design;practical subjects","Science;Linguistics;Literature;programming;theoretical subjects","soft materials","Laptop","Paper notebooks","Draw a simple mind map on paper","Yes","4","4","1","Soft materials","2","1","Hard Materials","2","Yes, hard materials make me remember more","4","2","2","Indoor","Hard materials","Writing and reading from a hard material make me concentrate ","3","2",""
"2024/03/18 11:57:37 pm EET","21","Female","Second Year","Both","Science;Mathematics;Literature;practical subjects","Linguistics;programming;theoretical subjects","soft materials","Laptop","Paper notebooks","Draw a simple mind map on paper","No","3","4","3","Hard materials","1","2","Hard Materials","3","Writing , using pens and colors help me remind information faster","3","2","2","Indoor","Soft materials","Internet is not available everywhere","3","3",""
"2024/03/18 11:57:56 pm EET","20","Female","Third Year","Both","Science;Linguistics;Literature;programming;theoretical subjects","Mathematics;practical subjects","soft materials","Laptop","Paper notebooks","Write down important information on small cards","No","2","3","2","Hard materials","2","2","Hard Materials","0","No","4","2","2","Indoor","Hard materials","Because it helps me focus for a longer time","2","2",""
"2024/03/19 12:17:29 am EET","21","Female","Third Year","Both","Mathematics;Linguistics;Literature;theoretical subjects","Science;design;programming;practical subjects","soft materials","Laptop","Paper notebooks","Write down important information on small cards","No","1","4","2","Both","2","1","Soft Materials","3","Yes , hard materials better ","3","1","2","Indoor","Hard materials","Make me more focused","3","2",""
"2024/03/19 12:18:07 am EET","20","Male","Third Year","Both","Mathematics","Science","soft materials","Laptop","Paper notebooks;Sticky notes","Draw a simple mind map on paper;Write down important information on small cards","Yes","4","3","2","Both","2","1","Both","3","No difference ","4","3","2","Indoor","Soft materials","Studying different subject with the same device ","3","3","No"
"2024/03/19 2:09:45 am EET","21","Female","Third Year","Hard materials","Science;Mathematics;programming;practical subjects","Linguistics;Literature;design;theoretical subjects","soft materials","Laptop","Paper notebooks","Draw a simple mind map on paper;Write down important information on small cards","No","4","4","2","Both","1","1","Soft Materials","3","I remember better when I write the information on a paper and a simple mind map ","4","2","2","Indoor","Hard materials","When I solve maths problems I like listening to music and while saving notes ","3","4","No"
"2024/03/19 3:10:14 am EET","20","Female","Third Year","Hard materials","Science;Mathematics;design;practical subjects","Literature;programming;theoretical subjects","soft materials","Laptop","Paper notebooks;Sticky notes","Write down important information on small cards;Create a timeline using digital tools","Yes","2","4","1","Both","2","2","Soft Materials","2","soft , once i forget my laptop , i can't get material ","4","2","2","Indoor","Hard materials","Just like hard material","1","3",""
"2024/03/19 3:44:28 pm EET","21","Female","Third Year","Hard materials","Science;Mathematics;practical subjects","Linguistics;Literature;design;programming;theoretical subjects","soft materials","Tablet","Paper notebooks;Sticky notes","Draw a simple mind map on paper;Write down important information on small cards;Summarise the content","Yes","4","4","2","Soft materials","2","4","Hard Materials","4","Yes, Hard materials helps me to remember better, highlighting the important and adding notes to it","2","4","4","Outdoor","Hard materials","Because it is more easy to take my books outdoor than my tablet and does not need internet connection","2","4","Hard materials are more flexible and practically easy to study with it"
"2024/03/19 4:13:11 pm EET","21","Female","Third Year","Soft materials","Science;theoretical subjects","Linguistics;design;programming","soft materials","Laptop","Paper notebooks","Draw a simple mind map on paper;Write down important information on small cards","Yes","1","1","1","Both","0","2","Soft Materials","2","no","4","1","3","Indoor","Soft materials",".","4","2","no"
"2024/03/19 4:34:27 pm EET","18","Female","Third Year","Both","Science;Mathematics;Literature;practical subjects","Mathematics;Linguistics;Literature;design;programming;theoretical subjects","hard materials","Laptop","Paper notebooks","Draw a simple mind map on paper;Create a timeline using digital tools","No","3","3","2","Hard materials","1","2","Hard Materials","1","No","3","2","3","Indoor","Hard materials",".","2","2","."
